,slope,R2,Serialnum,Calnum
co2kzero,-0.000423433897406394,0.9907244839437496,cga-5081,0
co2kspan,-0.0006290401080509084,0.9163798842321672,cga-5081,0
co2kspan2,-0.0030775932628063127,0.9944363764012757,cga-5081,0
co2kzero,-0.00020714194647971504,0.9910308778647502,cga-5269,0
co2kspan,-0.0011057211715672214,0.9618992986964047,cga-5269,0
co2kspan2,-0.0034884729456230853,0.9952117535300722,cga-5269,0
co2kzero,-8.56356381218938e-05,0.9020534422599227,cga-5174,0
co2kspan,-0.0008342392716378788,0.9663655435884647,cga-5174,0
co2kspan2,-0.0031163885041737673,0.9943543498811609,cga-5174,0
co2kzero,0.0005697085062696393,0.06518858782115222,cga-5271,0
co2kspan,0.0010499102483075688,0.03024396090999537,cga-5271,0
co2kspan2,-0.012790181735950217,0.11738372619967097,cga-5271,0
co2kzero,-0.02155077109255524,0.03303311112227292,cga-5180,0
co2kspan,199.9424327741454,0.038751765486661816,cga-5180,0
co2kspan2,5.343482340515137e-05,0.00016897721427722168,cga-5180,0
co2kzero,-9.840535374740259e-05,0.9800688133179708,cga-5379,0
co2kspan,-0.0009872877424059899,0.968754986884106,cga-5379,0
co2kspan2,-0.0023016821409956043,0.9884861851479043,cga-5379,0
co2kzero,-0.00042447080096026164,0.995336332701215,cga-5352,0
co2kspan,-0.000703773426279526,0.9577760858056207,cga-5352,0
co2kspan2,-0.0027731668998691133,0.9954874737668172,cga-5352,0
co2kzero,-0.00023409788844780621,0.9979226350061,cga-5353,0
co2kspan,-0.000740237955287668,0.9602475060115441,cga-5353,0
co2kspan2,-0.002884806251620072,0.9970710916442405,cga-5353,0
co2kzero,-0.0002272567515736335,0.9910810186325235,cga-5375,0
co2kspan,-0.0007550873360382025,0.9651633592671821,cga-5375,0
co2kspan2,-0.0026672513703902695,0.9958524626250724,cga-5375,0
co2kzero,-0.00021299496640990226,0.981007582773685,cga-5381,0
co2kspan,-0.0016577761238308728,0.9849790394185376,cga-5381,0
co2kspan2,-0.0015865167207213611,0.8713312895673273,cga-5381,0
co2kzero,6.060180387084097e-05,0.6927446548549575,cga-5380,0
co2kspan,-0.0006518877065178639,0.9335250754677702,cga-5380,0
co2kspan2,-0.002722291131856218,0.9904404960937566,cga-5380,0
co2kzero,-0.00011484602258339481,0.8810888246588635,cga-5377,0
co2kspan,-0.0007395306990658013,0.9516321009489159,cga-5377,0
co2kspan2,-0.002693584457755665,0.9878955322092394,cga-5377,0
co2kzero,1.3084558562714516e-05,0.3072252920824584,cga-5354,0
co2kspan,-0.001190174465177238,0.9702473202677415,cga-5354,0
co2kspan2,-0.00384399592595045,0.9943750712978086,cga-5354,0
co2kzero,-0.000551547,0.995906004,cga-5177,0
co2kspan,-0.000631791,0.93913909,cga-5177,0
co2kspan2,-0.002383917,0.991478268,cga-5177,0
co2kzero,-9.65123149890938e-05,0.9652572053291715,cga-5273,0
co2kspan,-0.0012504287789193913,0.9818322140789112,cga-5273,0
co2kspan2,-0.004320575655706319,0.99306037003189,cga-5273,0
co2kzero,-0.00041049210406952897,0.9987766817863533,cga-5376,0
co2kspan,-0.0009054582272887563,0.9729624019117497,cga-5376,0
co2kspan2,-0.0033494325029357753,0.9961481840277617,cga-5376,0
co2kzero,-3.75050108915207e-05,0.6079403178681664,cga-5378,0
co2kspan,-0.001038385119244936,0.9764191141782702,cga-5378,0
co2kspan2,-0.003672064258095365,0.9957853352279569,cga-5378,0
